Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify mandatory field contains asterisk sign or not.,RE-57,10086,Test,Blocked,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,08/Sep/21 9:15 AM,08/Sep/21 10:06 AM,08/Sep/21 4:30 PM,,,0,,,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,,,RE-22,,,,,,,,,{},,,,,,,0|i000fr:,,RE Sprint 1,,,,,,,,In Progress
Verify 'Search Media Item' field for autosuggestions of new search.,RE-56,10085,Test,Blocked,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,08/Sep/21 9:03 AM,08/Sep/21 9:58 AM,08/Sep/21 5:50 PM,,,0,,,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,,,RE-16,RE-12,,,,,,,,{},,,,,,,0|i000fj:,,RE Sprint 1,,,,,,,,In Progress
Verify if the media table contains recently uploaded file first.,RE-55,10084,Test,Done,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,Done,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,08/Sep/21 4:46 AM,08/Sep/21 8:48 AM,08/Sep/21 4:47 AM,08/Sep/21 8:48 AM,,0,,,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,,,RE-7,,,,,,,,,{},,,,,,,0|i000fb:,,RE Sprint 1,,,,,,,,Done
Verify if the checkbox present in front of 'file' column is selectable or not.,RE-54,10083,Test,Done,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,Done,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,08/Sep/21 4:30 AM,08/Sep/21 8:48 AM,08/Sep/21 4:30 AM,08/Sep/21 8:48 AM,,0,,,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,,RE-53,RE-7,,,,,,,,,{},,,,,,,0|i000f3:,,RE Sprint 1,,,,,,,,Done
Verify if the 'file' column get highlighted after clicking on it.,RE-53,10082,Test,Done,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,Done,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,08/Sep/21 4:14 AM,08/Sep/21 8:48 AM,08/Sep/21 4:14 AM,08/Sep/21 8:48 AM,,0,,,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,,,RE-7,,,,,,,,,{},,,,,,,0|i000ev:,,RE Sprint 1,,,,,,,,Done
Verify if 'edit' field displays all the details of picture after adding new image. ,RE-52,10081,Test,Done,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,Done,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,07/Sep/21 3:03 PM,08/Sep/21 8:48 AM,07/Sep/21 3:38 PM,08/Sep/21 8:48 AM,,0,,,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,,,RE-17,,,,,,,,,{},,,,,,,0|i000en:,,RE Sprint 1,,,,,,,,Done
Verify if 'Media' section shows library and add new options when mouse is hovered over it.,RE-51,10080,Test,Done,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,Done,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,07/Sep/21 2:53 PM,08/Sep/21 8:48 AM,07/Sep/21 2:53 PM,08/Sep/21 8:48 AM,,0,,,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,,,RE-49,,,,,,,,,{},,,,,,,0|i000ef:,,RE Sprint 1,,,,,,,,Done
Verify the 'Media' section is clickable or not by clicking on it.,RE-50,10079,Test,Done,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,Done,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,07/Sep/21 2:47 PM,08/Sep/21 8:48 AM,08/Sep/21 3:17 PM,08/Sep/21 8:48 AM,,0,,,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,,,RE-49,,,,,,,,,{},,,,,,,0|i000e7:,,RE Sprint 1,,,,,,,,Done
"As an admin, I want to check the functionality of 'Media' section in real estate application.",RE-49,10078,Story,Done,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,Done,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,07/Sep/21 2:41 PM,08/Sep/21 10:30 AM,08/Sep/21 10:30 AM,08/Sep/21 7:28 AM,,0,,,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,,,,,,,,,,,,{},,RE-1,,,,,0|i0006f:,,RE Sprint 1,,,,,,,,Done
Verify if 'pagination' field contains total record number before it.,RE-48,10077,Test,Done,RE,Real Estate,software,SHRUTI PHADTARE,612ef80cb7859000710af637,,Medium,Done,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,SHRUTI PHADTARE,612ef80cb7859000710af637,07/Sep/21 2:29 PM,08/Sep/21 8:48 AM,07/Sep/21 4:20 PM,08/Sep/21 8:48 AM,,0,,,SHRUTI PHADTARE,612ef80cb7859000710af637,,,,,,,,,,,RE-27,,,,,,,,,{},,,,,,,0|i000dr:,,RE Sprint 1,,,,,,,,Done
